Loading NED files from C:\Work\thesis\src\simulations\DesignTest\src: 12

Preparing for running configuration Modular, run #0...
Scenario: $generationInterval=500, $repetition=0
Assigned runID=Modular-0-20160418-12:18:16-5440
Setting up network `designtest.DataGeneration'...
Initializing...

Running simulation...
** Event #1   T=0   Elapsed: 0.000s (0m 00s)  0% completed
     Speed:     ev/sec=0   simsec/sec=0   ev/simsec=0
     Messages:  created: 2   present: 2   in FES: 2
** Event #4022016   T=0.6670005   Elapsed: 2.013s (0m 02s)  1% completed
     Speed:     ev/sec=1.99802e+006   simsec/sec=0.331346   ev/simsec=6.03e+006
     Messages:  created: 4015347   present: 3   in FES: 3
** Event #8557824   T=1.4192075   Elapsed: 4.025s (0m 04s)  2% completed
     Speed:     ev/sec=2.25438e+006   simsec/sec=0.37386   ev/simsec=6.03e+006
     Messages:  created: 8543633   present: 3   in FES: 3
** Event #13150208   T=2.180797   Elapsed: 6.038s (0m 06s)  3% completed
     Speed:     ev/sec=2.28136e+006   simsec/sec=0.378336   ev/simsec=6.03e+006
     Messages:  created: 13128400   present: 2   in FES: 2
** Event #17718272   T=2.9383535   Elapsed: 8.051s (0m 08s)  4% completed
     Speed:     ev/sec=2.26928e+006   simsec/sec=0.376332   ev/simsec=6.03e+006
     Messages:  created: 17688889   present: 2   in FES: 2
** Event #22274304   T=3.693914   Elapsed: 10.063s (0m 10s)  6% completed
     Speed:     ev/sec=2.26443e+006   simsec/sec=0.375527   ev/simsec=6.03e+006
     Messages:  created: 22237366   present: 3   in FES: 3
** Event #26845952   T=4.4520645   Elapsed: 12.076s (0m 12s)  7% completed
     Speed:     ev/sec=2.27106e+006   simsec/sec=0.376627   ev/simsec=6.03e+006
     Messages:  created: 26801431   present: 2   in FES: 2
** Event #31398912   T=5.207116   Elapsed: 14.089s (0m 14s)  8% completed
     Speed:     ev/sec=2.26178e+006   simsec/sec=0.375088   ev/simsec=6.03e+006
     Messages:  created: 31346842   present: 3   in FES: 3
** Event #35971072   T=5.965351   Elapsed: 16.101s (0m 16s)  9% completed
     Speed:     ev/sec=2.27245e+006   simsec/sec=0.376856   ev/simsec=6.03e+006
     Messages:  created: 35911419   present: 3   in FES: 3
** Event #40542208   T=6.723417   Elapsed: 18.114s (0m 18s)  11% completed
     Speed:     ev/sec=2.27081e+006   simsec/sec=0.376585   ev/simsec=6.03e+006
     Messages:  created: 40474975   present: 3   in FES: 3
** Event #45105920   T=7.4802515   Elapsed: 20.127s (0m 20s)  12% completed
     Speed:     ev/sec=2.26712e+006   simsec/sec=0.375973   ev/simsec=6.03e+006
     Messages:  created: 45031117   present: 2   in FES: 2
** Event #49687552   T=8.2400575   Elapsed: 22.139s (0m 22s)  13% completed
     Speed:     ev/sec=2.27715e+006   simsec/sec=0.377637   ev/simsec=6.03e+006
     Messages:  created: 49605152   present: 3   in FES: 3
** Event #54265344   T=8.999227   Elapsed: 24.152s (0m 24s)  14% completed
     Speed:     ev/sec=2.27411e+006   simsec/sec=0.377133   ev/simsec=6.03e+006
     Messages:  created: 54175352   present: 3   in FES: 3
** Event #58843904   T=9.758524   Elapsed: 26.164s (0m 26s)  16% completed
     Speed:     ev/sec=2.27563e+006   simsec/sec=0.377384   ev/simsec=6.03e+006
     Messages:  created: 58746318   present: 2   in FES: 2
** Event #63412224   T=10.5161225   Elapsed: 28.177s (0m 28s)  17% completed
     Speed:     ev/sec=2.26941e+006   simsec/sec=0.376353   ev/simsec=6.03e+006
     Messages:  created: 63307063   present: 3   in FES: 3
** Event #67964672   T=11.271089   Elapsed: 30.190s (0m 30s)  18% completed
     Speed:     ev/sec=2.26152e+006   simsec/sec=0.375045   ev/simsec=6.03e+006
     Messages:  created: 67851960   present: 2   in FES: 2
** Event #72541952   T=12.030174   Elapsed: 32.202s (0m 32s)  20% completed
     Speed:     ev/sec=2.27499e+006   simsec/sec=0.377279   ev/simsec=6.03e+006
     Messages:  created: 72421650   present: 2   in FES: 2
** Event #77121792   T=12.7896825   Elapsed: 34.215s (0m 34s)  21% completed
     Speed:     ev/sec=2.27513e+006   simsec/sec=0.377302   ev/simsec=6.03e+006
     Messages:  created: 76993895   present: 3   in FES: 3
** Event #81696768   T=13.548385   Elapsed: 36.228s (0m 36s)  22% completed
     Speed:     ev/sec=2.27272e+006   simsec/sec=0.376901   ev/simsec=6.03e+006
     Messages:  created: 81561284   present: 3   in FES: 3
** Event #86272000   T=14.30713   Elapsed: 38.240s (0m 38s)  23% completed
     Speed:     ev/sec=2.27397e+006   simsec/sec=0.37711   ev/simsec=6.03e+006
     Messages:  created: 86128929   present: 3   in FES: 3
** Event #90848000   T=15.0660025   Elapsed: 40.253s (0m 40s)  25% completed
     Speed:     ev/sec=2.27322e+006   simsec/sec=0.376986   ev/simsec=6.03e+006
     Messages:  created: 90697339   present: 2   in FES: 2
** Event #95426048   T=15.8252145   Elapsed: 42.266s (0m 42s)  26% completed
     Speed:     ev/sec=2.27424e+006   simsec/sec=0.377154   ev/simsec=6.03e+006
     Messages:  created: 95267795   present: 2   in FES: 2
** Event #99996160   T=16.58311   Elapsed: 44.278s (0m 44s)  27% completed
     Speed:     ev/sec=2.27143e+006   simsec/sec=0.376688   ev/simsec=6.03e+006
     Messages:  created: 99830329   present: 3   in FES: 3
** Event #104582656   T=17.343723   Elapsed: 46.292s (0m 46s)  28% completed
     Speed:     ev/sec=2.27731e+006   simsec/sec=0.377663   ev/simsec=6.03e+006
     Messages:  created: 104409219   present: 3   in FES: 3
** Event #109165056   T=18.1036565   Elapsed: 48.305s (0m 48s)  30% completed
     Speed:     ev/sec=2.2764e+006   simsec/sec=0.377513   ev/simsec=6.03e+006
     Messages:  created: 108984019   present: 3   in FES: 3
** Event #113746176   T=18.863378   Elapsed: 50.317s (0m 50s)  31% completed
     Speed:     ev/sec=2.2769e+006   simsec/sec=0.377595   ev/simsec=6.03e+006
     Messages:  created: 113557542   present: 3   in FES: 3
** Event #118331136   T=19.623736   Elapsed: 52.330s (0m 52s)  32% completed
